Scale,Extinction estimate,Group,Described Species,"Described Species divided by 10,000",Background Background extinction estimate type,"Background extinction per century expected for 10,000 species (2 E/MSY)",Centuries Since 1500,Background extinction expected since 1500,Expected extinctions between 1990 to 2021,Documented Extinctions,Elevated extinction rate with respect to expected,Approximated Moden-day extinction rate E/MSY,,,,,,,
Australia,Conservative,Amphibians,227,0.02,High,2.00,5.21,10.42,0.24,19,80,161,,,,,,,
Global,Conservative,Amphibians,"6,414",0.64,High,2.00,5.21,10.42,6.68,146,22,44,,,,,,,
Australia,Highly Conservative,Amphibians,227,0.02,High,2.00,5.21,10.42,0.24,4,17,34,,,,,,,
Global,Highly Conservative,Amphibians,"6,414",0.64,High,2.00,5.21,10.42,6.68,32,5,10,,,,,,,
Australia,Conservative,Birds,828,0.08,High,2.00,5.21,10.42,0.86,26,30,60,,,,,,,
Australia,Highly Conservative,Birds,828,0.08,High,2.00,5.21,10.42,0.86,9,10,21,,,,,,,
Global,Conservative,Birds,"10,425",1.04,High,2.00,5.21,10.42,10.86,80,7,15,,,,,,,
Global,Highly Conservative,Birds,"10,425",1.04,High,2.00,5.21,10.42,10.86,57,5,10,,,,,,,
Global,Conservative,Fishes,12457,1.25,High,2.00,5.21,10.42,12.98,158,12,24,,,,,,,
Global,Highly Conservative,Fishes,12457,1.25,High,2.00,5.21,10.42,12.98,66,5,10,,,,,,,
Australia,Conservative,Fishes,"5,750",0.58,High,2.00,5.21,10.42,5.99,9,2,3,,,,,,,
Australia,Highly Conservative,Fishes,"5,750",0.58,High,2.00,5.21,10.42,5.99,1,0.17,0,,,,,,,
Australia,Conservative,Mammals,386,0.04,High,2.00,5.21,10.42,0.40,43,107,214,,,,,,,
Australia,Highly Conservative,Mammals,386,0.04,High,2.00,5.21,10.42,0.40,34,85,169,,,,,,,
Global,Conservative,Mammals,"5,513",0.55,High,2.00,5.21,10.42,5.74,69,12,24,,,,,,,
Global,Highly Conservative,Mammals,"5,513",0.55,High,2.00,5.21,10.42,5.74,35,6,12,,,,,,,
Australia,Conservative,Plants,"28,000",2.80,High,0.35,5.21,1.82,5.11,244,206,17,,,,,,,
Global,Conservative,Plants,"204,793",20.48,High,0.35,5.21,1.82,37.34,315,8,3,,,,,,,
Global,Highly Conservative,Plants,"204,793",20.48,High,0.35,5.21,1.82,37.34,315,8,3,,,,,,,
Australia,Highly Conservative,Plants,"28,000",2.80,High,0.35,5.21,1.82,5.11,38,7,3,,,,,,,
Australia,Conservative,Reptiles,917,0.09,High,2.00,5.21,10.42,0.96,39,41,82,,,,,,,
Global,Conservative,Reptiles,"4,414",0.44,High,2.00,5.21,10.42,4.60,24,5,10,,,,,,,
Australia,Highly Conservative,Reptiles,917,0.09,High,2.00,5.21,10.42,0.96,3,3,6,,,,,,,
Global,Highly Conservative,Reptiles,"4,414",0.44,High,2.00,5.21,10.42,4.60,8,2,3,,,,,,,
Australia,Conservative,Vertebrates,8108,0.81,High,2.00,5.21,10.42,8.45,136,16,32,,,,,,,
Global,Conservative,Vertebrates,"39,223",3.92,High,2.00,5.21,10.42,40.87,477,12,23,,,,,,,
Australia,Highly Conservative,Vertebrates,8108,0.81,High,2.00,5.21,10.42,8.45,51,6,12,,,,,,,
Global,Highly Conservative,Vertebrates,"39,223",3.92,High,2.00,5.21,10.42,40.87,198,5,10,,,,,,,
Australia,Conservative,Amphibians,227,0.02,Low,0.10,5.21,0.52,0.01,19,1607,161,,,,,,,
Global,Conservative,Amphibians,"6,414",0.64,Low,0.10,5.21,0.52,0.33,146,437,44,,,,,,,
Australia,Highly Conservative,Amphibians,227,0.02,Low,0.10,5.21,0.52,0.01,4,338,34,,,,,,,
Global,Highly Conservative,Amphibians,"6,414",0.64,Low,0.10,5.21,0.52,0.33,32,96,10,,,,,,,
Australia,Conservative,Birds,828,0.08,Low,0.10,5.21,0.52,0.04,26,603,60,,,,,,,
Australia,Highly Conservative,Birds,828,0.08,Low,0.10,5.21,0.52,0.04,9,209,21,,,,,,,
Global,Conservative,Birds,"10,425",1.04,Low,0.10,5.21,0.52,0.54,80,147,15,,,,,,,
Global,Highly Conservative,Birds,"10,425",1.04,Low,0.10,5.21,0.52,0.54,57,105,10,,,,,,,
Global,Conservative,Fishes,12457,1.25,Low,0.10,5.21,0.52,0.65,158,243,24,,,,,,,
Global,Highly Conservative,Fishes,12457,1.25,Low,0.10,5.21,0.52,0.65,66,102,10,,,,,,,
Australia,Conservative,Fishes,"5,750",0.58,Low,0.10,5.21,0.52,0.30,9,30,3,,,,,,,
Australia,Highly Conservative,Fishes,"5,750",0.58,Low,0.10,5.21,0.52,0.30,1,3.34,0,,,,,,,
Australia,Conservative,Mammals,386,0.04,Low,0.10,5.21,0.52,0.02,43,2138,214,,,,,,,
