Scale,Extinction estimate,Group,Described Species,"Described Species divided by 10,000",Background Background extinction estimate type,"Background extinction per century expected for 10,000 species (2 E/MSY)",Centuries Since 1900,Background extinction expected since 1900 ,Expected extinctions between 1990 to 2021,Documented Extinctions,Elevated extinction rate with respect to expected,Approximated Moden-day extinction rate E/MSY,,,,,,,
Australia,Conservative,Amphibians,227,0.02,High,2.00,1.21,2.42,0.05,19,346,692,,,,,,,
Global,Conservative,Amphibians,"6,414",0.64,High,2.00,1.14,2.28,1.46,146,100,200,,,,,,,
Australia,Highly Conservative,Amphibians,227,0.02,High,2.00,1.21,2.42,0.05,4,73,146,,,,,,,
Global,Highly Conservative,Amphibians,"6,414",0.64,High,2.00,1.14,2.28,1.46,32,22,44,,,,,,,
Australia,Conservative,Birds,828,0.08,High,2.00,1.21,2.42,0.20,26,130,260,,,,,,,
Australia,Highly Conservative,Birds,828,0.08,High,2.00,1.21,2.42,0.20,9,45,90,,,,,,,
Global,Conservative,Birds,"10,425",1.04,High,2.00,1.14,2.28,2.38,80,34,67,,,,,,,
Global,Highly Conservative,Birds,"10,425",1.04,High,2.00,1.14,2.28,2.38,57,24,48,,,,,,,
Global,Conservative,Fishes,12457,1.25,High,2.00,1.14,2.28,2.84,158,56,111,,,,,,,
Global,Highly Conservative,Fishes,12457,1.25,High,2.00,1.14,2.28,2.84,66,23,46,,,,,,,
Australia,Conservative,Fishes,"5,750",0.58,High,2.00,1.21,2.42,1.39,9,6,13,,,,,,,
Australia,Highly Conservative,Fishes,"5,750",0.58,High,2.00,1.14,2.28,1.31,1,0.76,2,,,,,,,
Australia,Conservative,Mammals,386,0.04,High,2.00,1.21,2.42,0.09,43,460,921,,,,,,,
Australia,Highly Conservative,Mammals,386,0.04,High,2.00,1.21,2.42,0.09,34,364,728,,,,,,,
Global,Conservative,Mammals,"5,513",0.55,High,2.00,1.14,2.28,1.26,69,55,110,,,,,,,
Global,Highly Conservative,Mammals,"5,513",0.55,High,2.00,1.14,2.28,1.26,35,28,56,,,,,,,
Australia,Conservative,Plants,"28,000",2.80,High,0.35,1.00,0.35,0.98,244,206,87,,,,,,,
Global,Conservative,Plants,"204,793",20.48,High,0.35,1.21,0.42,8.67,315,36,13,,,,,,,
Global,Highly Conservative,Plants,"204,793",20.48,High,0.35,1.21,0.42,8.67,315,36,13,,,,,,,
Australia,Highly Conservative,Plants,"28,000",2.80,High,0.35,1.21,0.42,1.19,38,32,11,,,,,,,
Australia,Conservative,Reptiles,917,0.09,High,2.00,1.21,2.42,0.22,39,176,351,,,,,,,
Global,Conservative,Reptiles,"4,414",0.44,High,2.00,1.14,2.28,1.01,24,24,48,,,,,,,
Australia,Highly Conservative,Reptiles,917,0.09,High,2.00,1.21,2.42,0.22,3,14,27,,,,,,,
Global,Highly Conservative,Reptiles,"4,414",0.44,High,2.00,1.14,2.28,1.01,8,8,16,,,,,,,
Australia,Conservative,Vertebrates,8108,0.81,High,2.00,1.21,2.42,1.96,136,69,139,,,,,,,
Global,Conservative,Vertebrates,"39,223",3.92,High,2.00,1.14,2.28,8.94,477,53,107,,,,,,,
Australia,Highly Conservative,Vertebrates,8108,0.81,High,2.00,1.21,2.42,1.96,51,26,52,,,,,,,
